Capture ID,Date,Avg surface (px^2),Avg surface (mm^2),Avg weight,Bcmk len
66,2023-08-08 13:57:40.174633,858.045454545455,184.463600630471,386.534749216809,86.27
67,2023-08-08 13:57:41.225174,789.7,170.007010474917,358.633530216589,86.21
68,2023-08-08 13:57:42.553281,826.928571428572,167.750661007718,354.278775744895,88.81
69,2023-08-08 13:57:43.131143,820.5,176.719635308179,371.588896144786,86.19
70,2023-08-08 13:57:44.456160,873.85,184.509750811674,386.623819066531,87.05
71,2023-08-08 13:57:45.060658,827.333333333333,175.130276516207,368.521433676279,86.94
72,2023-08-08 13:57:46.394191,821.833333333333,175.699736739457,369.620491907152,86.51
73,2023-08-08 13:57:46.998568,887.5,191.995673336939,401.071649540292,86
74,2023-08-08 13:57:48.121387,748.625,158.250759677632,335.943966177831,87
75,2023-08-08 13:57:49.051078,788.5,164.855762184534,348.691621016151,87.48
76,2023-08-08 13:57:50.048319,875.125,185.588227201132,388.705278498184,86.86
77,2023-08-08 13:57:51.329431,758.285714285714,161.590462037738,342.389591732835,86.65
78,2023-08-08 13:57:52.082763,873.5,186.228550587695,389.941102634251,86.63
79,2023-08-08 13:57:53.128070,874.083333333333,186.309900880078,390.09810869855,86.64
80,2023-08-08 13:57:54.617769,838.1,178.598862780105,375.215805165603,86.65
81,2023-08-08 13:57:55.120807,881,187.827536425597,393.027145301402,86.63
82,2023-08-08 13:57:56.880091,869.9,185.461037385501,388.459802154018,86.63
83,2023-08-08 13:57:57.377850,872.333333333333,185.765322249596,389.04707194172,86.68
84,2023-08-08 13:57:58.042127,677,144.50187700361,309.408622616966,86.58
85,2023-08-08 13:57:59.191500,879.5,187.20508082465,391.825805991574,86.7
86,2023-08-08 13:58:00.329109,880.136363636364,186.4362880109,390.342035861036,86.91
87,2023-08-08 13:58:01.269135,850.666666666667,175.478294709736,369.193108789791,88.07
88,2023-08-08 13:58:02.849968,731,151.756485958159,323.410017899247,87.79
89,2023-08-08 13:58:03.758337,767.214285714286,220.221994883432,455.548450125023,74.66
90,2023-08-08 13:58:04.208019,796.625,394.100928116034,791.134791263946,56.87
91,2023-08-08 13:58:05.170674,845.7,177.911384873122,373.888972805126,87.21
92,2023-08-08 13:58:06.086199,833.363636363636,175.356374960785,368.957803674316,87.2
93,2023-08-08 13:58:07.081291,860.666666666667,180.935444657965,379.725408189873,87.24
94,2023-08-08 13:58:08.558413,852.277777777778,180.452036733635,378.792430895915,86.93
95,2023-08-08 13:58:09.130849,841.7,178.623135173713,375.262650885266,86.83
96,2023-08-08 13:58:10.268339,839.545454545454,177.715343596861,373.510613141942,86.94
97,2023-08-08 13:58:11.517163,836.111111111111,177.192111344214,372.500774894334,86.89
98,2023-08-08 13:58:12.418583,894.333333333333,189.182282280722,395.641804801793,86.97
99,2023-08-08 13:58:13.114447,868.875,183.923834417428,385.493000425636,86.94
100,2023-08-08 13:58:14.148516,873.75,184.998331772912,387.566780321719,86.93
1,2023-08-08 13:58:15.214132,855.166666666667,180.938791273863,379.731867158555,86.96
2,2023-08-08 13:58:16.165157,847.875,179.395998033124,376.754276203929,86.96
3,2023-08-08 13:58:17.198303,899.142857142857,190.5500586465,398.281613187744,86.89
1,2023-08-08 14:32:14.290657,806.269230769231,98.1128052585597,219.87771414902,86
2,2023-08-08 14:32:15.281631,777.785714285714,94.646720234876,213.188170053311,86
3,2023-08-08 14:32:16.242378,843.583333333333,102.653461330449,228.641180367766,86
4,2023-08-08 14:32:17.256591,779.416666666667,94.8451865873445,213.571210113575,86
5,2023-08-08 14:32:18.264085,816.375,99.3425500270417,222.25112155219,86
6,2023-08-08 14:32:19.272563,812.4,98.8588426176312,221.317566252028,86
7,2023-08-08 14:32:20.282504,772.9,94.0521903731747,212.040727420227,86
8,2023-08-08 14:32:21.272592,818.9,99.6498107084911,222.844134667388,86
9,2023-08-08 14:32:22.272027,833.8,101.462952947539,226.343499188751,86
10,2023-08-08 14:32:23.291568,775,94.3077339102218,212.533926446728,86
11,2023-08-08 14:32:24.291947,803.6,97.7879935100054,219.25082747431,86
12,2023-08-08 14:32:25.285803,790.5,96.1938885884262,216.174204975663,86
13,2023-08-08 14:32:26.304262,812.666666666667,98.8912925905895,221.380194699838,86
14,2023-08-08 14:32:27.287584,854.625,103.997093023256,231.234389534884,86
15,2023-08-08 14:32:28.315882,823.111111111111,100.162249864792,223.833142239048,86
16,2023-08-08 14:32:29.291204,919.25,111.861141157382,246.412002433748,86
17,2023-08-08 14:32:30.273773,776.5,94.4902650081125,212.886211465657,86
18,2023-08-08 14:32:31.281956,831.25,101.152650081125,225.744614656571,86
19,2023-08-08 14:32:32.353828,762.5,92.7866414277988,209.598217955652,86
20,2023-08-08 14:32:33.335933,857.916666666667,11.8575331683364,53.4050390148892,255.18
21,2023-08-08 14:32:34.337928,885.9375,107.807429691725,238.58833930503,86
37,2023-08-08 14:32:50.474718,834.5,100.122750852483,223.756909145292,86.61
38,2023-08-08 14:32:51.459668,816.3,97.9843749685326,219.629843689268,86.59
39,2023-08-08 14:32:52.439299,805.357142857143,96.3590104785104,216.492890223525,86.73
40,2023-08-08 14:32:53.418843,822.75,98.712993725441,221.036077890101,86.61
41,2023-08-08 14:32:54.406886,824.291666666667,98.669981386621,220.953064076179,86.71
42,2023-08-08 14:32:55.422673,780.8,93.4639091745523,210.905344706886,86.71
44,2023-08-08 14:32:57.411064,824.333333333333,98.9029609978793,221.402714725907,86.61
45,2023-08-08 14:32:58.419766,824.833333333333,98.621050933339,220.858628301344,86.76
46,2023-08-08 14:32:59.408783,859.5,103.09842521637,229.499960667594,86.62
47,2023-08-08 14:33:00.414439,793.3125,95.2250759123165,214.304396510771,86.59
48,2023-08-08 14:33:01.441534,815.611111111111,97.901684355767,219.47025080663,86.59
49,2023-08-08 14:33:02.455933,849.722222222222,101.71408888496,226.828191547972,86.71
50,2023-08-08 14:33:03.427291,821.6,98.3024285701125,220.243687140317,86.73
52,2023-08-08 14:33:05.468920,811.071428571429,97.3567646495237,218.418555773581,86.59
53,2023-08-08 14:33:06.452015,857.6,102.633406407865,228.602474367179,86.72
